iterations_used,final_accuracy,final_accuracy_percent,final_loss
1,0.8225806451612904,82.25806451612904,0.4796740859746933
2,0.8387096774193549,83.87096774193549,0.8102165758609772
3,0.7258064516129032,72.58064516129032,2.088539242744446
4,0.8387096774193549,83.87096774193549,3.4313364028930664
5,0.8709677419354839,87.09677419354838,6.350650310516357
6,0.8548387096774194,85.48387096774194,6.506936073303223
7,0.8225806451612904,82.25806451612904,4.13028872013092
8,0.7419354838709677,74.19354838709677,2.8941102027893066
9,0.5483870967741935,54.83870967741935,22.021974563598633
10,0.5806451612903226,58.06451612903226,14.209807872772217
11,0.5161290322580645,51.61290322580645,7.736279010772705
12,0.8225806451612904,82.25806451612904,4.388146758079529
13,0.8709677419354839,87.09677419354838,7.32021689414978
14,0.8548387096774194,85.48387096774194,8.040953636169434
15,0.8548387096774194,85.48387096774194,9.814584732055664
16,0.8548387096774194,85.48387096774194,10.285128593444824
17,0.8548387096774194,85.48387096774194,9.314966201782227
18,0.8709677419354839,87.09677419354838,9.827557563781738
19,0.8709677419354839,87.09677419354838,7.900980234146118
20,0.8548387096774194,85.48387096774194,8.308116436004639
21,0.8548387096774194,85.48387096774194,8.260893821716309
22,0.8387096774193549,83.87096774193549,8.365187883377075
23,0.8387096774193549,83.87096774193549,11.340327262878418
24,0.8387096774193549,83.87096774193549,11.299227237701416
25,0.8064516129032258,80.64516129032258,12.686565399169922
26,0.8064516129032258,80.64516129032258,11.456004619598389
27,0.8064516129032258,80.64516129032258,12.849138736724854
28,0.7903225806451613,79.03225806451613,14.220669746398926
29,0.7903225806451613,79.03225806451613,15.383453845977783
30,0.7903225806451613,79.03225806451613,15.279608726501465
31,0.7903225806451613,79.03225806451613,15.015100002288818
32,0.7903225806451613,79.03225806451613,15.18031644821167
33,0.7903225806451613,79.03225806451613,13.81967544555664
34,0.7903225806451613,79.03225806451613,13.582457065582275
35,0.7903225806451613,79.03225806451613,13.503279209136963
36,0.7903225806451613,79.03225806451613,13.44468641281128
37,0.7741935483870968,77.41935483870968,13.406185150146484
38,0.7741935483870968,77.41935483870968,13.399062633514404
39,0.7741935483870968,77.41935483870968,13.415811538696289
40,0.7741935483870968,77.41935483870968,13.472516536712646
41,0.7741935483870968,77.41935483870968,13.551085948944092
42,0.7741935483870968,77.41935483870968,13.598152160644531
43,0.7741935483870968,77.41935483870968,13.676700592041016
44,0.7741935483870968,77.41935483870968,13.793190956115723
45,0.7741935483870968,77.41935483870968,14.099390983581543
46,0.7741935483870968,77.41935483870968,14.14645767211914
47,0.7741935483870968,77.41935483870968,14.158083438873291
48,0.7741935483870968,77.41935483870968,14.162388324737549
49,0.7741935483870968,77.41935483870968,15.528090476989746
50,0.7741935483870968,77.41935483870968,15.727923393249512
