algorithm,local_optimizer,num_clients,local_epochs,learning_rate,seed,best_iteration,best_accuracy,best_accuracy_percent,loss_at_best_iteration
FedAdam,adam,2,5,0.0005,42,5,0.8387096774193549,83.87096774193549,0.8697613775730133
FedAdam,sgd,2,5,0.0005,42,49,0.7096774193548387,70.96774193548387,0.6217166781425476
FedAdam,rmsprop,2,5,0.0005,42,5,0.8709677419354839,87.09677419354838,6.350650310516357
FedAdam,adagrad,2,5,0.0005,42,10,0.8548387096774194,85.48387096774194,1.141545832157135
