algorithm,local_optimizer,num_clients,local_epochs,learning_rate,seed,best_iteration,best_accuracy,best_accuracy_percent,loss_at_best_iteration
FedAvgM,adam,2,5,0.0005,42,20,0.8548387096774194,85.48387096774194,1.0694027841091156
FedAvgM,sgd,2,5,0.0005,42,1,0.46774193548387094,46.774193548387096,0.6987706124782562
FedAvgM,rmsprop,2,5,0.0005,42,10,0.8709677419354839,87.09677419354838,1.4371577501296997
FedAvgM,adagrad,2,5,0.0005,42,33,0.8548387096774194,85.48387096774194,0.44845201075077057
